coarse-grained,fine-grained
24,Get_water
24,Make_tea.Boil_water
12,Get_up
24,Clean_dishes.Clean_with_water
4,Breakfast.Spread_jam_or_butter
21,Use_tablet
12,Watch_TV
19,Read
4,Breakfast.Take_ham
10,Pour.From_can
17,Leave
5,Put_something_on_table
17,Enter
23,Make_coffee
4,Breakfast.Cut_bread
13,Cook.Use_stove
12,Drink.From_glass
6,Dump_in_trash
13,Cook.Cut
2,Drink.From_bottle
12,Drink.From_can
24,Clean_dishes
24,Clean_dishes.Put_something_in_sink
9,Use_telephone
2,Write
11,Use_fridge
23,Insert_tea_bag
11,Cook.Use_oven
23,Make_tea
24,Clean_dishes.Dry_up
23,Make_coffee.Pour_grains
21,Use_glasses
5,Use_laptop
0,Lay_down
4,Pour.From_bottle
4,Breakfast.Eat_at_table
2,Take_something_off_table
9,Sit_down
13,Cook.Stir
11,Use_cupboard
5,Drink.From_cup
23,Use_Drawer
12,Eat_snack
8,Stir_coffee/tea
24,Wipe_table
13,Cook
9,Walk
4,Breakfast
23,Make_coffee.Pour_water
23,Pour.From_kettle
10,Take_pills
