coarse-grained,fine-grained
3,Get_water
2,Make_tea.Boil_water
4,Get_up
3,Clean_dishes.Clean_with_water
7,Breakfast.Spread_jam_or_butter
4,Use_tablet
4,Watch_TV
4,Read
7,Breakfast.Take_ham
4,Pour.From_can
4,Leave
4,Put_something_on_table
4,Enter
2,Make_coffee
7,Breakfast.Cut_bread
2,Cook.Use_stove
4,Drink.From_glass
2,Dump_in_trash
2,Cook.Cut
4,Drink.From_bottle
4,Drink.From_can
3,Clean_dishes
3,Clean_dishes.Put_something_in_sink
4,Use_telephone
9,Write
2,Use_fridge
3,Insert_tea_bag
3,Cook.Use_oven
3,Make_tea
2,Clean_dishes.Dry_up
2,Make_coffee.Pour_grains
10,Use_glasses
4,Use_laptop
4,Lay_down
4,Pour.From_bottle
7,Breakfast.Eat_at_table
4,Take_something_off_table
4,Sit_down
2,Cook.Stir
3,Use_cupboard
4,Drink.From_cup
2,Use_Drawer
4,Eat_snack
2,Stir_coffee/tea
3,Wipe_table
3,Cook
4,Walk
7,Breakfast
2,Make_coffee.Pour_water
2,Pour.From_kettle
4,Take_pills
