coarse-grained,fine-grained
3,Get_water
3,Make_tea.Boil_water
1,Get_up
3,Clean_dishes.Clean_with_water
2,Breakfast.Spread_jam_or_butter
4,Use_tablet
1,Watch_TV
2,Read
2,Breakfast.Take_ham
2,Pour.From_can
4,Leave
1,Put_something_on_table
4,Enter
3,Make_coffee
2,Breakfast.Cut_bread
3,Cook.Use_stove
1,Drink.From_glass
0,Dump_in_trash
0,Cook.Cut
1,Drink.From_bottle
1,Drink.From_can
3,Clean_dishes
3,Clean_dishes.Put_something_in_sink
1,Use_telephone
2,Write
0,Use_fridge
3,Insert_tea_bag
3,Cook.Use_oven
3,Make_tea
3,Clean_dishes.Dry_up
0,Make_coffee.Pour_grains
1,Use_glasses
2,Use_laptop
1,Lay_down
2,Pour.From_bottle
2,Breakfast.Eat_at_table
2,Take_something_off_table
1,Sit_down
3,Cook.Stir
3,Use_cupboard
2,Drink.From_cup
3,Use_Drawer
2,Eat_snack
2,Stir_coffee/tea
3,Wipe_table
3,Cook
1,Walk
2,Breakfast
0,Make_coffee.Pour_water
0,Pour.From_kettle
1,Take_pills
