coarse-grained,fine-grained
6,Get_water
6,Make_tea.Boil_water
8,Get_up
6,Clean_dishes.Clean_with_water
10,Breakfast.Spread_jam_or_butter
1,Use_tablet
8,Watch_TV
10,Read
0,Breakfast.Take_ham
10,Pour.From_can
4,Leave
8,Put_something_on_table
4,Enter
13,Make_coffee
10,Breakfast.Cut_bread
4,Cook.Use_stove
6,Drink.From_glass
13,Dump_in_trash
4,Cook.Cut
8,Drink.From_bottle
8,Drink.From_can
6,Clean_dishes
6,Clean_dishes.Put_something_in_sink
1,Use_telephone
11,Write
13,Use_fridge
6,Insert_tea_bag
6,Cook.Use_oven
6,Make_tea
6,Clean_dishes.Dry_up
13,Make_coffee.Pour_grains
1,Use_glasses
0,Use_laptop
12,Lay_down
12,Pour.From_bottle
10,Breakfast.Eat_at_table
8,Take_something_off_table
8,Sit_down
4,Cook.Stir
13,Use_cupboard
10,Drink.From_cup
6,Use_Drawer
13,Eat_snack
4,Stir_coffee/tea
6,Wipe_table
13,Cook
13,Walk
10,Breakfast
13,Make_coffee.Pour_water
13,Pour.From_kettle
8,Take_pills
