coarse-grained,fine-grained
4,Get_water
4,Make_tea.Boil_water
0,Get_up
4,Clean_dishes.Clean_with_water
1,Breakfast.Spread_jam_or_butter
8,Use_tablet
0,Watch_TV
1,Read
1,Breakfast.Take_ham
0,Pour.From_can
7,Leave
0,Put_something_on_table
7,Enter
2,Make_coffee
1,Breakfast.Cut_bread
6,Cook.Use_stove
0,Drink.From_glass
2,Dump_in_trash
2,Cook.Cut
0,Drink.From_bottle
0,Drink.From_can
4,Clean_dishes
4,Clean_dishes.Put_something_in_sink
3,Use_telephone
5,Write
2,Use_fridge
4,Insert_tea_bag
2,Cook.Use_oven
4,Make_tea
2,Clean_dishes.Dry_up
2,Make_coffee.Pour_grains
8,Use_glasses
0,Use_laptop
0,Lay_down
0,Pour.From_bottle
1,Breakfast.Eat_at_table
5,Take_something_off_table
3,Sit_down
6,Cook.Stir
9,Use_cupboard
8,Drink.From_cup
2,Use_Drawer
2,Eat_snack
6,Stir_coffee/tea
4,Wipe_table
2,Cook
3,Walk
1,Breakfast
2,Make_coffee.Pour_water
2,Pour.From_kettle
8,Take_pills
