coarse-grained,fine-grained
10,Get_water
10,Make_tea.Boil_water
15,Get_up
10,Clean_dishes.Clean_with_water
19,Breakfast.Spread_jam_or_butter
13,Use_tablet
15,Watch_TV
11,Read
19,Breakfast.Take_ham
15,Pour.From_can
9,Leave
15,Put_something_on_table
9,Enter
10,Make_coffee
19,Breakfast.Cut_bread
7,Cook.Use_stove
3,Drink.From_glass
17,Dump_in_trash
7,Cook.Cut
3,Drink.From_bottle
3,Drink.From_can
10,Clean_dishes
10,Clean_dishes.Put_something_in_sink
18,Use_telephone
11,Write
16,Use_fridge
10,Insert_tea_bag
8,Cook.Use_oven
10,Make_tea
10,Clean_dishes.Dry_up
17,Make_coffee.Pour_grains
13,Use_glasses
1,Use_laptop
3,Lay_down
15,Pour.From_bottle
19,Breakfast.Eat_at_table
11,Take_something_off_table
18,Sit_down
7,Cook.Stir
16,Use_cupboard
15,Drink.From_cup
12,Use_Drawer
5,Eat_snack
14,Stir_coffee/tea
10,Wipe_table
4,Cook
18,Walk
19,Breakfast
10,Make_coffee.Pour_water
10,Pour.From_kettle
15,Take_pills
