coarse-grained,fine-grained
1,Get_water
1,Make_tea.Boil_water
12,Get_up
1,Clean_dishes.Clean_with_water
9,Breakfast.Spread_jam_or_butter
0,Use_tablet
12,Watch_TV
0,Read
6,Breakfast.Take_ham
14,Pour.From_can
11,Leave
12,Put_something_on_table
11,Enter
10,Make_coffee
9,Breakfast.Cut_bread
11,Cook.Use_stove
1,Drink.From_glass
19,Dump_in_trash
5,Cook.Cut
0,Drink.From_bottle
0,Drink.From_can
1,Clean_dishes
10,Clean_dishes.Put_something_in_sink
0,Use_telephone
14,Write
19,Use_fridge
1,Insert_tea_bag
19,Cook.Use_oven
1,Make_tea
1,Clean_dishes.Dry_up
19,Make_coffee.Pour_grains
4,Use_glasses
4,Use_laptop
13,Lay_down
13,Pour.From_bottle
9,Breakfast.Eat_at_table
12,Take_something_off_table
12,Sit_down
5,Cook.Stir
19,Use_cupboard
13,Drink.From_cup
19,Use_Drawer
1,Eat_snack
5,Stir_coffee/tea
1,Wipe_table
19,Cook
0,Walk
9,Breakfast
19,Make_coffee.Pour_water
10,Pour.From_kettle
12,Take_pills
