coarse-grained,fine-grained
14,Get_water
14,Make_tea.Boil_water
9,Get_up
14,Clean_dishes.Clean_with_water
19,Breakfast.Spread_jam_or_butter
7,Use_tablet
9,Watch_TV
7,Read
19,Breakfast.Take_ham
9,Pour.From_can
3,Leave
7,Put_something_on_table
3,Enter
12,Make_coffee
5,Breakfast.Cut_bread
18,Cook.Use_stove
0,Drink.From_glass
12,Dump_in_trash
4,Cook.Cut
7,Drink.From_bottle
7,Drink.From_can
14,Clean_dishes
14,Clean_dishes.Put_something_in_sink
6,Use_telephone
15,Write
13,Use_fridge
8,Insert_tea_bag
13,Cook.Use_oven
8,Make_tea
14,Clean_dishes.Dry_up
8,Make_coffee.Pour_grains
7,Use_glasses
7,Use_laptop
0,Lay_down
7,Pour.From_bottle
19,Breakfast.Eat_at_table
6,Take_something_off_table
6,Sit_down
8,Cook.Stir
13,Use_cupboard
7,Drink.From_cup
8,Use_Drawer
9,Eat_snack
17,Stir_coffee/tea
14,Wipe_table
8,Cook
6,Walk
19,Breakfast
8,Make_coffee.Pour_water
8,Pour.From_kettle
9,Take_pills
