coarse-grained,fine-grained
1,Get_water
1,Make_tea.Boil_water
4,Get_up
1,Clean_dishes.Clean_with_water
2,Breakfast.Spread_jam_or_butter
0,Use_tablet
4,Watch_TV
2,Read
2,Breakfast.Take_ham
2,Pour.From_can
0,Leave
4,Put_something_on_table
0,Enter
1,Make_coffee
2,Breakfast.Cut_bread
3,Cook.Use_stove
4,Drink.From_glass
5,Dump_in_trash
5,Cook.Cut
4,Drink.From_bottle
4,Drink.From_can
1,Clean_dishes
1,Clean_dishes.Put_something_in_sink
4,Use_telephone
2,Write
5,Use_fridge
1,Insert_tea_bag
1,Cook.Use_oven
1,Make_tea
1,Clean_dishes.Dry_up
5,Make_coffee.Pour_grains
4,Use_glasses
2,Use_laptop
4,Lay_down
2,Pour.From_bottle
2,Breakfast.Eat_at_table
2,Take_something_off_table
4,Sit_down
1,Cook.Stir
1,Use_cupboard
4,Drink.From_cup
1,Use_Drawer
2,Eat_snack
3,Stir_coffee/tea
1,Wipe_table
1,Cook
4,Walk
2,Breakfast
5,Make_coffee.Pour_water
5,Pour.From_kettle
4,Take_pills
