coarse-grained,fine-grained
19,eating food with a fork
1,pouring water into a cup
19,taking medicine
19,drinking water
18,putting food in the fridge/taking food from the fridge
2,trimming vegetables
2,peeling fruit
1,using a gas stove
1,cutting vegetables on the cutting board
6,brushing teeth
1,washing hands
6,washing face
6,wiping face with a towel
15,putting on cosmetics
15,putting on lipstick
15,brushing hair
15,blow-drying hair
8,putting on a jacket
8,taking off a jacket
5,putting on/taking off shoes
6,putting on/taking off glasses
1,washing the dishes
11,vacuuming the floor
14,scrubbing the floor with a rag
2,wiping off the dining table
18,rubbing furniture
17,spreading bedding/folding bedding
12,washing a towel by hand
8,hanging out laundry
1,looking around for something
3,using a remote control
2,reading a book
2,reading a newspaper
2,handwriting
15,talking on the phone
10,playing with a mobile phone
2,using a computer
6,smoking
19,clapping
19,rubbing face with hands
10,doing freehand exercises
1,doing neck roll exercises
7,massaging a shoulder oneself
5,taking a bow
2,talking to each other
5,handshaking
5,hugging each other
19,fighting each other
18,waving a hand
18,flapping a hand up and down (beckoning)
5,pointing with a finger
5,opening the door and walking in
20,falling on the floor
15,sitting up/standing up
17,lying down
