coarse-grained,fine-grained
eating,eating food with a fork
preparing food/drink,pouring water into a cup
taking care of oneself,taking medicine
drinking,drinking water
storing food,putting food in the fridge/taking food from the fridge
preparing food,trimming vegetables
preparing food,peeling fruit
cooking,using a gas stove
preparing food,cutting vegetables on the cutting board
taking care of oneself,brushing teeth
taking care of oneself,washing hands
taking care of oneself,washing face
taking care of oneself,wiping face with a towel
grooming,putting on cosmetics
grooming,putting on lipstick
grooming,brushing hair
grooming,blow-drying hair
dressing,putting on a jacket
dressing,taking off a jacket
dressing,putting on/taking off shoes
dressing,putting on/taking off glasses
cleaning,washing the dishes
cleaning,vacuuming the floor
cleaning,scrubbing the floor with a rag
cleaning,wiping off the dining table
cleaning,rubbing furniture
making the bed,spreading bedding/folding bedding
washing clothes,washing a towel by hand
washing clothes,hanging out laundry
other,looking around for something
using electronic devices,using a remote control
reading,reading a book
reading,reading a newspaper
writing,handwriting
communicating,talking on the phone
using electronic devices,playing with a mobile phone
using electronic devices,using a computer
other,smoking
other,clapping
taking care of oneself,rubbing face with hands
exercising,doing freehand exercises
exercising,doing neck roll exercises
taking care of oneself,massaging a shoulder oneself
other,taking a bow
communicating,talking to each other
greeting,handshaking
greeting,hugging each other
other,fighting each other
greeting,waving a hand
signaling,flapping a hand up and down (beckoning)
signaling,pointing with a finger
other,opening the door and walking in
other,falling on the floor
body movement,sitting up/standing up
body movement,lying down
