coarse-grained,fine-grained
Eating and Drinking,eating food with a fork
Eating and Drinking,pouring water into a cup
Eating and Drinking,taking medicine
Eating and Drinking,drinking water
Eating and Drinking,putting food in the fridge/taking food from the fridge
Eating and Drinking,trimming vegetables
Eating and Drinking,peeling fruit
Eating and Drinking,using a gas stove
Eating and Drinking,cutting vegetables on the cutting board
Grooming and Hygiene,brushing teeth
Grooming and Hygiene,washing hands
Grooming and Hygiene,washing face
Grooming and Hygiene,wiping face with a towel
Grooming and Hygiene,putting on cosmetics
Grooming and Hygiene,putting on lipstick
Grooming and Hygiene,brushing hair
Grooming and Hygiene,blow-drying hair
Dressing,putting on a jacket
Dressing,taking off a jacket
Dressing,putting on/taking off shoes
Dressing,putting on/taking off glasses
Household Chores,washing the dishes
Household Chores,vacuuming the floor
Household Chores,scrubbing the floor with a rag
Household Chores,wiping off the dining table
Household Chores,rubbing furniture
Household Chores,spreading bedding/folding bedding
Household Chores,washing a towel by hand
Household Chores,hanging out laundry
Leisure and Hobbies,looking around for something
Leisure and Hobbies,using a remote control
Leisure and Hobbies,reading a book
Leisure and Hobbies,reading a newspaper
Leisure and Hobbies,handwriting
Leisure and Hobbies,talking on the phone
Leisure and Hobbies,playing with a mobile phone
Leisure and Hobbies,using a computer
Leisure and Hobbies,smoking
Social Interactions,clapping
Social Interactions,rubbing face with hands
Social Interactions,talking to each other
Social Interactions,handshaking
Social Interactions,hugging each other
Social Interactions,fighting each other
Social Interactions,waving a hand
Social Interactions,flapping a hand up and down (beckoning)
Social Interactions,pointing with a finger
Physical Exercises,doing freehand exercises
Physical Exercises,doing neck roll exercises
Physical Exercises,massaging a shoulder oneself
Physical Exercises,taking a bow
Physical States,opening the door and walking in
Physical States,falling on the floor
Physical States,sitting up/standing up
Physical States,lying down
