coarse-grained,fine-grained
20,eating food with a fork
20,pouring water into a cup
20,taking medicine
20,drinking water
17,putting food in the fridge/taking food from the fridge
9,trimming vegetables
20,peeling fruit
0,using a gas stove
0,cutting vegetables on the cutting board
19,brushing teeth
11,washing hands
11,washing face
19,wiping face with a towel
8,putting on cosmetics
8,putting on lipstick
8,brushing hair
8,blow-drying hair
13,putting on a jacket
13,taking off a jacket
21,putting on/taking off shoes
8,putting on/taking off glasses
0,washing the dishes
15,vacuuming the floor
18,scrubbing the floor with a rag
9,wiping off the dining table
17,rubbing furniture
22,spreading bedding/folding bedding
11,washing a towel by hand
13,hanging out laundry
5,looking around for something
2,using a remote control
6,reading a book
9,reading a newspaper
9,handwriting
6,talking on the phone
14,playing with a mobile phone
9,using a computer
19,smoking
1,clapping
1,rubbing face with hands
14,doing freehand exercises
5,doing neck roll exercises
24,massaging a shoulder oneself
21,taking a bow
9,talking to each other
7,handshaking
7,hugging each other
1,fighting each other
1,waving a hand
24,flapping a hand up and down (beckoning)
21,pointing with a finger
21,opening the door and walking in
16,falling on the floor
6,sitting up/standing up
22,lying down
