coarse-grained,fine-grained
kitchen,eating food with a fork
kitchen,pouring water into a cup
any,taking medicine
any,drinking water
kitchen,putting food in the fridge/taking food from the fridge
kitchen,trimming vegetables
kitchen,peeling fruit
kitchen,using a gas stove
kitchen,cutting vegetables on the cutting board
bathroom,brushing teeth
bathroom,washing hands
bathroom,washing face
bathroom,wiping face with a towel
bathroom,putting on cosmetics
bathroom,putting on lipstick
bathroom,brushing hair
bathroom,blow-drying hair
bedroom,putting on a jacket
bedroom,taking off a jacket
any,putting on/taking off shoes
any,putting on/taking off glasses
kitchen,washing the dishes
living room,vacuuming the floor
living room,scrubbing the floor with a rag
living room,wiping off the dining table
living room,rubbing furniture
bedroom,spreading bedding/folding bedding
bathroom,washing a towel by hand
any,hanging out laundry
any,looking around for something
living room,using a remote control
living room,reading a book
living room,reading a newspaper
any,handwriting
any,talking on the phone
any,playing with a mobile phone
any,using a computer
any,smoking
any,clapping
any,rubbing face with hands
any,doing freehand exercises
any,doing neck roll exercises
any,massaging a shoulder oneself
any,taking a bow
any,talking to each other
any,handshaking
any,hugging each other
any,fighting each other
any,waving a hand
any,flapping a hand up and down (beckoning)
any,pointing with a finger
any,opening the door and walking in
any,falling on the floor
any,sitting up/standing up
any,lying down
