coarse-grained,fine-grained
9,eating food with a fork
5,pouring water into a cup
19,taking medicine
19,drinking water
5,putting food in the fridge/taking food from the fridge
11,trimming vegetables
11,peeling fruit
5,using a gas stove
11,cutting vegetables on the cutting board
8,brushing teeth
8,washing hands
8,washing face
8,wiping face with a towel
1,putting on cosmetics
1,putting on lipstick
13,brushing hair
13,blow-drying hair
7,putting on a jacket
7,taking off a jacket
4,putting on/taking off shoes
4,putting on/taking off glasses
5,washing the dishes
6,vacuuming the floor
6,scrubbing the floor with a rag
4,wiping off the dining table
5,rubbing furniture
15,spreading bedding/folding bedding
8,washing a towel by hand
12,hanging out laundry
3,looking around for something
19,using a remote control
0,reading a book
0,reading a newspaper
4,handwriting
19,talking on the phone
19,playing with a mobile phone
19,using a computer
19,smoking
4,clapping
4,rubbing face with hands
17,doing freehand exercises
10,doing neck roll exercises
10,massaging a shoulder oneself
14,taking a bow
14,talking to each other
14,handshaking
14,hugging each other
14,fighting each other
2,waving a hand
2,flapping a hand up and down (beckoning)
2,pointing with a finger
3,opening the door and walking in
18,falling on the floor
16,sitting up/standing up
12,lying down
