coarse-grained,fine-grained
5,eating food with a fork
5,pouring water into a cup
5,taking medicine
5,drinking water
13,putting food in the fridge/taking food from the fridge
5,trimming vegetables
5,peeling fruit
18,using a gas stove
6,cutting vegetables on the cutting board
2,brushing teeth
2,washing hands
2,washing face
2,wiping face with a towel
17,putting on cosmetics
17,putting on lipstick
17,brushing hair
17,blow-drying hair
1,putting on a jacket
1,taking off a jacket
15,putting on/taking off shoes
17,putting on/taking off glasses
18,washing the dishes
1,vacuuming the floor
1,scrubbing the floor with a rag
5,wiping off the dining table
1,rubbing furniture
15,spreading bedding/folding bedding
2,washing a towel by hand
1,hanging out laundry
1,looking around for something
3,using a remote control
15,reading a book
5,reading a newspaper
5,handwriting
17,talking on the phone
3,playing with a mobile phone
17,using a computer
2,smoking
5,clapping
1,rubbing face with hands
1,doing freehand exercises
1,doing neck roll exercises
1,massaging a shoulder oneself
15,taking a bow
5,talking to each other
1,handshaking
15,hugging each other
1,fighting each other
6,waving a hand
8,flapping a hand up and down (beckoning)
15,pointing with a finger
15,opening the door and walking in
1,falling on the floor
15,sitting up/standing up
1,lying down
