coarse-grained,fine-grained
9,eating food with a fork
9,pouring water into a cup
9,taking medicine
9,drinking water
10,putting food in the fridge/taking food from the fridge
9,trimming vegetables
9,peeling fruit
11,using a gas stove
9,cutting vegetables on the cutting board
0,brushing teeth
11,washing hands
0,washing face
0,wiping face with a towel
1,putting on cosmetics
1,putting on lipstick
1,brushing hair
1,blow-drying hair
5,putting on a jacket
3,taking off a jacket
14,putting on/taking off shoes
9,putting on/taking off glasses
11,washing the dishes
6,vacuuming the floor
6,scrubbing the floor with a rag
9,wiping off the dining table
10,rubbing furniture
5,spreading bedding/folding bedding
12,washing a towel by hand
3,hanging out laundry
11,looking around for something
4,using a remote control
9,reading a book
9,reading a newspaper
9,handwriting
2,talking on the phone
9,playing with a mobile phone
9,using a computer
7,smoking
9,clapping
9,rubbing face with hands
3,doing freehand exercises
9,doing neck roll exercises
9,massaging a shoulder oneself
14,taking a bow
9,talking to each other
14,handshaking
14,hugging each other
9,fighting each other
10,waving a hand
10,flapping a hand up and down (beckoning)
7,pointing with a finger
14,opening the door and walking in
13,falling on the floor
2,sitting up/standing up
5,lying down
