coarse-grained,fine-grained
2,eating food with a fork
2,pouring water into a cup
2,taking medicine
2,drinking water
3,putting food in the fridge/taking food from the fridge
4,trimming vegetables
4,peeling fruit
3,using a gas stove
4,cutting vegetables on the cutting board
0,brushing teeth
0,washing hands
0,washing face
0,wiping face with a towel
2,putting on cosmetics
2,putting on lipstick
2,brushing hair
2,blow-drying hair
1,putting on a jacket
1,taking off a jacket
1,putting on/taking off shoes
4,putting on/taking off glasses
3,washing the dishes
1,vacuuming the floor
1,scrubbing the floor with a rag
2,wiping off the dining table
3,rubbing furniture
1,spreading bedding/folding bedding
0,washing a towel by hand
1,hanging out laundry
2,looking around for something
2,using a remote control
2,reading a book
4,reading a newspaper
4,handwriting
2,talking on the phone
2,playing with a mobile phone
2,using a computer
2,smoking
4,clapping
4,rubbing face with hands
1,doing freehand exercises
1,doing neck roll exercises
1,massaging a shoulder oneself
1,taking a bow
4,talking to each other
1,handshaking
1,hugging each other
4,fighting each other
3,waving a hand
3,flapping a hand up and down (beckoning)
2,pointing with a finger
1,opening the door and walking in
1,falling on the floor
2,sitting up/standing up
1,lying down
