coarse-grained,fine-grained
18,eating food with a fork
18,pouring water into a cup
18,taking medicine
18,drinking water
17,putting food in the fridge/taking food from the fridge
18,trimming vegetables
18,peeling fruit
15,using a gas stove
18,cutting vegetables on the cutting board
8,brushing teeth
16,washing hands
16,washing face
8,wiping face with a towel
13,putting on cosmetics
13,putting on lipstick
13,brushing hair
13,blow-drying hair
7,putting on a jacket
7,taking off a jacket
19,putting on/taking off shoes
13,putting on/taking off glasses
15,washing the dishes
10,vacuuming the floor
7,scrubbing the floor with a rag
1,wiping off the dining table
17,rubbing furniture
14,spreading bedding/folding bedding
16,washing a towel by hand
10,hanging out laundry
5,looking around for something
0,using a remote control
18,reading a book
18,reading a newspaper
18,handwriting
14,talking on the phone
5,playing with a mobile phone
5,using a computer
5,smoking
18,clapping
18,rubbing face with hands
14,doing freehand exercises
2,doing neck roll exercises
17,massaging a shoulder oneself
19,taking a bow
1,talking to each other
19,handshaking
19,hugging each other
1,fighting each other
17,waving a hand
15,flapping a hand up and down (beckoning)
5,pointing with a finger
19,opening the door and walking in
6,falling on the floor
14,sitting up/standing up
14,lying down
